176.76.227.77 - - [18/Aug/2025:14:02:06 +0200] "GET /wp-content/themes/Avada-Child-Theme/build/style.css?ver=6.6.3 HTTP/2" 200 36460 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:06 +0200] "GET /wp-includes/js/jquery/jquery.min.js?ver=3.7.1 HTTP/2" 200 29744 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:06 +0200] "GET /wp-content/plugins/wpjobboard/public/js/frontend.js?ver=5.8.1 HTTP/2" 200 4013 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:05 +0200] "GET /kariera/moje-delo/ HTTP/2" 200 182625 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
152.89.234.215 - - [18/Aug/2025:14:02:05 +0200] "GET /delo/svetovalec-m-z-3/ HTTP/1.1" 200 31470 "-" "WP Rocket/Preload"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/uploads/2022/01/zaposlitev_logo_n.png HTTP/3" 200 4842 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/uploads/2023/11/logo-mobile.png HTTP/3" 200 5994 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/uploads/2021/02/zaposlitev_logo_n-2-e1613128138389.png HTTP/3" 200 7825 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/plugins/official-mailerlite-sign-up-forms/assets/js/localization/validation-messages.js HTTP/3" 200 1701 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/plugins/wpjobboard-application-methods//assets/css/wpjobboard-am.css?ver=1.0 HTTP/3" 200 518 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/plugins/wpjobboard-application-methods//assets/js/wpjobboard-am.js?ver=1.0 HTTP/3" 200 1365 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/plugins/fusion-builder/assets/js/min/general/fusion-animations.js?ver=3.12.2 HTTP/3" 200 776 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/general/awb-tabs-widget.js?ver=3.12.2 HTTP/3" 200 200 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/general/awb-vertical-menu-widget.js?ver=3.12.2 HTTP/3" 200 417 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/library/cssua.js?ver=2.1.28 HTTP/3" 200 1422 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada-Child-Theme/build/main.js HTTP/3" 200 73729 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/plugins/fusion-builder/assets/js/min/library/gsap.js?ver=3.12.2 HTTP/3" 200 26604 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
176.76.227.77 - - [18/Aug/2025:14:02:07 +0200] "GET /wp-content/themes/Avada/includes/lib/assets/min/js/general/fusion.js?ver=3.12.2 HTTP/3" 200 1636 "https://www.zaposlitev.info/kariera/moje-delo/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Mobile Safari/537.36"
