Package                      Version   Latest     Type
---------------------------- --------- ---------- -----
accelerate                   1.11.0    1.12.0     wheel
anthropic                    0.73.0    0.75.0     wheel
anyio                        4.11.0    4.12.0     wheel
Authlib                      1.6.5     1.6.6      wheel
beartype                     0.22.5    0.22.9     wheel
bitsandbytes                 0.48.2    0.49.0     wheel
black                        25.11.0   25.12.0    wheel
boto3                        1.40.73   1.42.19    wheel
botocore                     1.40.73   1.42.19    wheel
cachetools                   6.2.1     6.2.4      wheel
certifi                      2025.10.5 2025.11.12 wheel
comtypes                     1.4.13    1.4.14     wheel
coverage                     7.11.0    7.13.1     wheel
cyclopts                     4.2.3     4.4.3      wheel
datasets                     4.4.1     4.4.2      wheel
DateTime                     5.5       6.0        wheel
docutils                     0.22.3    0.22.4     wheel
exceptiongroup               1.3.0     1.3.1      wheel
fastmcp                      2.13.0.2  2.14.2     wheel
filelock                     3.20.0    3.20.1     wheel
fsspec                       2025.10.0 2025.12.0  wheel
google-ai-generativelanguage 0.6.15    0.9.0      wheel
google-api-core              2.25.2    2.28.1     wheel
google-auth                  2.43.0    2.45.0     wheel
google-auth-httplib2         0.2.1     0.3.0      wheel
google-generativeai          0.8.5     0.8.6      wheel
grpcio-status                1.71.2    1.76.0     wheel
huggingface_hub              1.1.4     1.2.3      wheel
jaraco.context               6.0.1     6.0.2      wheel
jaraco.functools             4.3.0     4.4.0      wheel
jiter                        0.11.1    0.12.0     wheel
joblib                       1.5.2     1.5.3      wheel
keyring                      25.6.0    25.7.0     wheel
langchain                    0.2.17    1.2.0      wheel
langchain-core               1.0.5     1.2.5      wheel
langgraph                    1.0.3     1.0.5      wheel
langgraph-prebuilt           1.0.4     1.0.5      wheel
langgraph-sdk                0.2.9     0.3.1      wheel
langsmith                    0.4.43    0.5.2      wheel
mcp                          1.21.0    1.25.0     wheel
mypy                         1.18.2    1.19.1     wheel
narwhals                     2.11.0    2.14.0     wheel
networkx                     3.5       3.6.1      wheel
numpy                        2.3.5     2.4.0      wheel
ollama                       0.6.0     0.6.1      wheel
openai                       2.8.0     2.14.0     wheel
orjson                       3.11.4    3.11.5     wheel
ormsgpack                    1.12.0    1.12.1     wheel
peft                         0.17.1    0.18.0     wheel
platformdirs                 4.5.0     4.5.1      wheel
plotly                       6.4.0     6.5.0      wheel
proto-plus                   1.26.1    1.27.0     wheel
protobuf                     6.33.1    6.33.2     wheel
psutil                       7.1.3     7.2.1      wheel
py-key-value-aio             0.2.8     0.3.0      wheel
py-key-value-shared          0.2.8     0.3.0      wheel
pydantic                     2.12.4    2.12.5     wheel
pylint                       4.0.2     4.0.4      wheel
pyparsing                    3.2.5     3.3.1      wheel
pytest                       9.0.1     9.0.2      wheel
python-multipart             0.0.20    0.0.21     wheel
redis                        7.0.1     7.1.0      wheel
referencing                  0.36.2    0.37.0     wheel
rpds-py                      0.28.0    0.30.0     wheel
s3transfer                   0.14.0    0.16.0     wheel
safetensors                  0.6.2     0.7.0      wheel
scikit-learn                 1.7.2     1.8.0      wheel
selenium                     4.38.0    4.39.0     wheel
sentence-transformers        5.1.2     5.2.0      wheel
sse-starlette                3.0.3     3.1.2      wheel
streamlit                    1.51.0    1.52.2     wheel
tornado                      6.5.2     6.5.4      wheel
transformers                 4.57.1    4.57.3     wheel
trl                          0.25.0    0.26.2     wheel
typer-slim                   0.20.0    0.21.0     wheel
tzdata                       2025.2    2025.3     wheel
urllib3                      2.5.0     2.6.2      wheel
uvicorn                      0.38.0    0.40.0     wheel
Werkzeug                     3.1.3     3.1.4      wheel
wsproto                      1.2.0     1.3.2      wheel
